video_description,create_time,region_code,like_count,video_label,is_stem_verified,music_id,username,view_count,hashtag_names,id,share_count,video_duration,video_mention_list,comment_count,hashtag_info_list
Over 50% av stemmeberettigede nordmenn hadde dette problemet ved stortingsvalget i 2021 #fypシ #viral #fypage #fypシ゚viral #tiktokviral #fyp #foryoupage #mustsee #norway #trend #politikk #foryou #funn ,1736116624,NO,74,"{'sink': False, 'type': 0, 'vote': False, 'warn': False, 'content': ''}",False,7456564096377424642,jobs_brain,3053,"['mustsee', 'viral', 'funn', 'foryou', 'trend', 'norway', 'fyp', 'politikk', 'tiktokviral', 'foryoupage', 'fypage', 'fypシ', 'fypシ゚viral']",7456564095303634198,34,39,[],1,"[{'hashtag_description': '', 'hashtag_id': 8848, 'hashtag_name': 'mustsee'}, {'hashtag_description': '', 'hashtag_id': 42164, 'hashtag_name': 'foryou'}, {'hashtag_description': '', 'hashtag_id': 1604302285252613, 'hashtag_name': 'fypage'}, {'hashtag_id': 40841092, 'hashtag_name': 'politikk', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 29568, 'hashtag_name': 'funn'}, {'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_description': '', 'hashtag_id': 88764338, 'hashtag_name': 'foryoupage'}, {'hashtag_id': 44895, 'hashtag_name': 'trend', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 1664119477821441, 'hashtag_name': 'fypシ゚viral'}, {'hashtag_description': '', 'hashtag_id': 86427221, 'hashtag_name': 'tiktokviral'}, {'hashtag_description': '', 'hashtag_id': 135557, 'hashtag_name': 'norway'}, {'hashtag_description': '', 'hashtag_id': 1637342470396934, 'hashtag_name': 'fypシ'}, {'hashtag_id': 20884, 'hashtag_name': 'Viral', 'hashtag_description': '¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM'}]"
Har disse to klippene gått i «glemmeboka»? #fypシ #viral #fypage #fypシ゚viral #tiktokviral #fyp #foryoupage #mustsee #norway #trend #politikk ,1736113323,NO,1480,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",False,7456549929621834518,jobs_brain,42664,"['mustsee', 'viral', 'trend', 'norway', 'fyp', 'politikk', 'tiktokviral', 'foryoupage', 'fypage', 'fypシ', 'fypシ゚viral']",7456549924818193686,813,104,[],95,"[{'hashtag_description': '¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM', 'hashtag_id': 20884, 'hashtag_name': 'Viral'}, {'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_description': '', 'hashtag_id': 88764338, 'hashtag_name': 'foryoupage'}, {'hashtag_description': '', 'hashtag_id': 1637342470396934, 'hashtag_name': 'fypシ'}, {'hashtag_id': 1664119477821441, 'hashtag_name': 'fypシ゚viral', 'hashtag_description': ''}, {'hashtag_name': 'tiktokviral', 'hashtag_description': '', 'hashtag_id': 86427221}, {'hashtag_id': 8848, 'hashtag_name': 'mustsee', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 40841092, 'hashtag_name': 'politikk'}, {'hashtag_description': '', 'hashtag_id': 1604302285252613, 'hashtag_name': 'fypage'}, {'hashtag_description': '', 'hashtag_id': 135557, 'hashtag_name': 'norway'}, {'hashtag_name': 'trend', 'hashtag_description': '', 'hashtag_id': 44895}]"
Broiler schmoiler ☠️ #neitileu #fyp #2025 #norgetiktok #straffeparagraf105 #norge #politikk ##visdomsord @Atomkriger ,1736096817,NO,1156,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",False,6839324086548563969,stpablo88,15494,"['fyp', 'norge', '2025', 'politikk', 'visdomsord', 'norgetiktok', 'neitileu', 'straffeparagraf105']",7456479033224662294,187,60,['Atomkriger'],141,"[{'hashtag_description': '', 'hashtag_id': 1689989139630086, 'hashtag_name': 'neitileu'}, {'hashtag_description': '', 'hashtag_id': 43172841, 'hashtag_name': 'visdomsord'}, {'hashtag_description': '', 'hashtag_id': 40841092, 'hashtag_name': 'politikk'}, {'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_id': 38767842, 'hashtag_name': '2025', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 1634527654390789, 'hashtag_name': 'norgetiktok'}, {'hashtag_id': 7453603687148027926, 'hashtag_name': 'straffeparagraf105', 'hashtag_description': ''}, {'hashtag_id': 3672944, 'hashtag_name': 'norge', 'hashtag_description': ''}]"
"NÅR «SYSTEMET» TAR «KVELERTAK»: (Utdrag fra min bok som er under prosess) MOTIV: Mitt MOTIV for å skrive denne boken vil kanskje noen hevde er en slags hevn for måten ledelsen i helsevesenet har gått fram på, og på hvilken måte ledelsen har behandlet flere av sine ansatte ved sykehuset Telemark? På dette spørsmål vil jeg svare:  «det er nok et motiv som var min første tanke og drivkraften bak mitt bokprosjekt, men det er IKKE hele mitt MOTIV»! Jeg vil definere ordet MOTIV som en unnskyldning for en handling man bevisst går inn for å utføre får å oppnå noe. Dette «noe» kan være så mangt. Noen MOTIV er også årsak til kriminelle handlinger. Helsesektoren i Norge har nok MANGE en formening om? Det kan jeg med sikkerhet si. Det er bare å høre på nyheter i tv og radio og lese litt aviser.  Jeg vet at ikke jeg har misforstått budskapet fra hverken media eller norsk sykepleierforbund. Der forbundslederen Lill Sverresdatter Larsen ofte er ute i media og utrykker sin bekymring for den utvikling vi nå ser, både med tanke på alle de ansatte som roper høyt om hjelp til å klare å holde ut i omsorgsyrker og pasienter som opplever systemsvikt, samt pårørende som ikke følger seg hverken hørt og forstått fordi systemet ikke er lagt tilrette for et godt nok samarbeid. Pårørende kan også bli sett på som krevende og en trussel for ledere som har som oppgave å overholde et stramt budsjett. Dette er min personlige erfaring som kom meget klart og tydelig frem for meg i min rolle som tidligere ansatt og som pårørende til både min far og min mor. Men også som pårørende til flere av mine andre familiemedlemmer, samt min egen erfaring som pasient i det offentlige helsevesenet. Mitt MOTIV for å skrive denne boka har jeg reflektert mye over. Der mine opplevelser både som ansatt og pårørende har preget meg og mitt liv både fysisk og psykisk. Håpet er at både politikere, studenter/lærlinger i omsorgsyrker, ansatte i det offentlige helsevesen, pasienter og pårørende kan ta med seg noe av budskapet for å skape engasjement. Håpet er at dette kan føre til økt forståelse for hvilke press som hviler på både de ansattes og de pårørendes skuldre. Til sykehusledelsens og kommunenes forsvar vil jeg si: Det er harde prioriteringer, ansvarsfulle valg og avgjørelse som ledelsen må ta på vegne av pasienter og ansatte. Politiske og økonomiske avgjørelser er styrende for helseforetakenes og kommunenes prioriteringer. Jeg er svært uenig i hvordan de sentrale politikerne styrer økonomien i hele Helse-Norge på. Men det er sikkert ikke så lett å være politiker heller? POLITISK PERSPEKTIV  Det er vel ikke så mye som tyder på at de siste to årene har ført til noen endring i positiv retning? De lokale politikerne er også underlagt strenge økonomiske rammer fra sentralt hold, men det burde etter min oppfatning vært en mer jevn økonomisk fordeling mellom de ulike kommunene i landet. Bor du i en fattig kommune vil dette gå utover både skolebudsjett og tilbudet til elevene samtidig som det legger store begrensninger for handlingsrommet til lærerne. De økonomiske rammene for den kommunale helse og velferd er til stadighet i fokus i media, der nedleggelse av tilbud til de eldre kommer opp som eneste alternativ for å sikre en bedre økonomi.  Rehabiliteringsavdelinger blir nedlagte, aktivitører ved sykehjem forsvinner, fokus på aktivitet og glede blir nedprioritert, ansatte slutter og mange dyktige sykepleiere og helsearbeidere forsvinner ut av yrket og blir erstattet av ufaglært arbeidskraft. Det samme gjelder også i skolen. Dyktige lærere orker ikke mer. Fokus på sosialarbeid tar stadig større plass. Både barna, foreldre og lærerne blir skadelidende i et slikt system.@Ungdom, rus og Psykisk helse @Helsesjukepleiaridetfri @helsesykepleier.maria @sykehus  #regjeringen #politikk #sykepleier #utfordring #helsepersonell #verdighet #lærer #elev #kompetanse #ufaglært #helsefagarbeider #håp #forebygging #økonomi #kommunevalg #stortingsvalget2025 #tillit #leder ",1736094029,NO,8,"{'warn': False, 'content': '', 'sink': False, 'type': 0, 'vote': False}",False,6696419503296743426,monicabjerkseth,966,"['tillit', 'leder', 'lærer', 'elev', 'utfordring', 'regjeringen', 'politikk', 'sykepleier', 'kompetanse', 'økonomi', 'håp', 'kommunevalg', 'helsefagarbeider', 'helsepersonell', 'verdighet', 'forebygging', 'ufaglært', 'stortingsvalget2025']",7456467056091811094,1,0,"['Ungdom, rus og Psykisk helse', 'Helsesjukepleiaridetfri', 'helsesykepleier.maria', 'sykehus']",1,"[{'hashtag_description': '', 'hashtag_id': 83918579, 'hashtag_name': 'kommunevalg'}, {'hashtag_description': '', 'hashtag_id': 9832626, 'hashtag_name': 'leder'}, {'hashtag_description': '', 'hashtag_id': 10900890, 'hashtag_name': 'lærer'}, {'hashtag_description': '', 'hashtag_id': 1677087892758530, 'hashtag_name': 'forebygging'}, {'hashtag_description': '', 'hashtag_id': 54541594, 'hashtag_name': 'kompetanse'}, {'hashtag_id': 65805755, 'hashtag_name': 'økonomi', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 7194530462009753606, 'hashtag_name': 'stortingsvalget2025'}, {'hashtag_name': 'sykepleier', 'hashtag_description': '', 'hashtag_id': 46529127}, {'hashtag_name': 'håp', 'hashtag_description': '', 'hashtag_id': 83373648}, {'hashtag_description': '', 'hashtag_id': 1708797832105990, 'hashtag_name': 'ufaglært'}, {'hashtag_description': '', 'hashtag_id': 40841092, 'hashtag_name': 'politikk'}, {'hashtag_description': '', 'hashtag_id': 16082098, 'hashtag_name': 'regjeringen'}, {'hashtag_id': 1661495010592773, 'hashtag_name': 'helsepersonell', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 11899917, 'hashtag_name': 'utfordring'}, {'hashtag_description': '', 'hashtag_id': 11896931, 'hashtag_name': 'elev'}, {'hashtag_description': '', 'hashtag_id': 1646582300082181, 'hashtag_name': 'helsefagarbeider'}, {'hashtag_description': '', 'hashtag_id': 258981, 'hashtag_name': 'tillit'}, {'hashtag_description': '', 'hashtag_id': 1670490980428805, 'hashtag_name': 'verdighet'}]"
Så bra at FrP's leder Sylvi Listhaug endelig tar tak i dette problemet som alle andre politikere har oversett og bagatelisert i alle år🇧🇻🍎 #politikk #samfunn #samfunnet #fremskrittspartiet #frpシ #frp #frpシ💫 #valg #valg2025 #ernasolberg #Venstre #norgetiktok #krf #MDG #sosialistiskvenstreparti #fordeg #stortinget #regjeringen #senterpartiet #Arbeiderpartiet #vedum #jonasgahrstøre #Høyre #Sylvi #sylvilisthaug #stemfrp ,1736084263,NO,497,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",False,7251003339578608389,frp2025_,8237,"['sylvi', 'frp', 'mdg', 'venstre', 'ernasolberg', 'fordeg', 'høyre', 'regjeringen', 'krf', 'valg', 'stortinget', 'arbeiderpartiet', 'politikk', 'fremskrittspartiet', 'vedum', 'samfunn', 'stemfrp', 'norgetiktok', 'jonasgahrstøre', 'senterpartiet', 'sylvilisthaug', 'frpシ', 'samfunnet', 'frpシ💫', 'sosialistiskvenstreparti', 'valg2025']",7456425110547877142,12,0,[],125,"[{'hashtag_description': '', 'hashtag_id': 1642408755602438, 'hashtag_name': 'jonasgahrstøre'}, {'hashtag_description': '', 'hashtag_id': 1644100998255621, 'hashtag_name': 'senterpartiet'}, {'hashtag_description': '', 'hashtag_id': 14006352, 'hashtag_name': 'høyre'}, {'hashtag_id': 1644305185036293, 'hashtag_name': 'sylvilisthaug', 'hashtag_description': ''}, {'hashtag_name': 'mdg', 'hashtag_description': '', 'hashtag_id': 7803106}, {'hashtag_id': 16082098, 'hashtag_name': 'regjeringen', 'hashtag_description': ''}, {'hashtag_id': 1602978995822597, 'hashtag_name': 'samfunn', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 13836049, 'hashtag_name': 'fordeg'}, {'hashtag_description': '', 'hashtag_id': 22394533, 'hashtag_name': 'stortinget'}, {'hashtag_description': '', 'hashtag_id': 13510536, 'hashtag_name': 'venstre'}, {'hashtag_id': 1592908108875781, 'hashtag_name': 'vedum', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 20617951, 'hashtag_name': 'valg'}, {'hashtag_description': '', 'hashtag_id': 1653935430046725, 'hashtag_name': 'frpシ'}, {'hashtag_description': '', 'hashtag_id': 1670490096953349, 'hashtag_name': 'frpシ💫'}, {'hashtag_description': '', 'hashtag_id': 31804781, 'hashtag_name': 'arbeiderpartiet'}, {'hashtag_description': '', 'hashtag_id': 70136866, 'hashtag_name': 'fremskrittspartiet'}, {'hashtag_description': '', 'hashtag_id': 40841092, 'hashtag_name': 'politikk'}, {'hashtag_description': '', 'hashtag_id': 6318009, 'hashtag_name': 'frp'}, {'hashtag_id': 7007868002792603654, 'hashtag_name': 'valg2025', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 1663418402423813, 'hashtag_name': 'samfunnet'}, {'hashtag_description': '', 'hashtag_id': 582392, 'hashtag_name': 'sylvi'}, {'hashtag_description': '', 'hashtag_id': 1634527654390789, 'hashtag_name': 'norgetiktok'}, {'hashtag_description': '', 'hashtag_id': 1626011419935750, 'hashtag_name': 'stemfrp'}, {'hashtag_name': 'krf', 'hashtag_description': '', 'hashtag_id': 17353376}, {'hashtag_description': '', 'hashtag_id': 1674812821677062, 'hashtag_name': 'sosialistiskvenstreparti'}, {'hashtag_name': 'ernasolberg', 'hashtag_description': '', 'hashtag_id': 13747977}]"
Hva er greia med klimafornektere og snø?  #klima #klimafornektere #snø #politikk #møreogromsdal #mdg ,1736083194,NO,2041,"{'warn': False, 'content': '', 'sink': False, 'type': 0, 'vote': False}",False,6823732879575484429,jonasmnilsen,24462,"['snø', 'mdg', 'klima', 'møreogromsdal', 'politikk', 'klimafornektere']",7456420518829329686,74,61,[],261,"[{'hashtag_description': '', 'hashtag_id': 7204775905774796805, 'hashtag_name': 'klimafornektere'}, {'hashtag_description': '', 'hashtag_id': 4547821, 'hashtag_name': 'snø'}, {'hashtag_name': 'politikk', 'hashtag_description': '', 'hashtag_id': 40841092}, {'hashtag_description': '', 'hashtag_id': 15742027, 'hashtag_name': 'møreogromsdal'}, {'hashtag_description': '', 'hashtag_id': 7803106, 'hashtag_name': 'mdg'}, {'hashtag_description': '', 'hashtag_id': 9016746, 'hashtag_name': 'klima'}]"
Noen ganger kan også politikk være ganske morsomt!😂👌 #politikk #stortinget #humor #fyp ,1736080656,NO,3384,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",False,7456409618676189954,simenbondevik,104642,"['humor', 'fyp', 'stortinget', 'politikk']",7456409613873810710,385,47,[],33,"[{'hashtag_description': '', 'hashtag_id': 22394533, 'hashtag_name': 'stortinget'}, {'hashtag_description': '¡Es hora de reírte como nunca! Los videos más divertidos están aquí en TikTok. 😂😂😂', 'hashtag_id': 19336, 'hashtag_name': 'Humor'}, {'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_description': '', 'hashtag_id': 40841092, 'hashtag_name': 'politikk'}]"
Skal vi fortsette å føre en politikk som ikke fungerer? Eller skal vi snu skuta?🤔💙🍎 #frp #fremskrittspartiet #fyp #foryou #foryoupage ,1736077416,NO,98,"{'vote': False, 'warn': False, 'content': '', 'sink': False, 'type': 0}",False,7456395700743277334,trondheim.fpu,1757,"['foryou', 'fyp', 'frp', 'fremskrittspartiet', 'foryoupage']",7456395697110207766,1,31,[],26,"[{'hashtag_description': '', 'hashtag_id': 6318009, 'hashtag_name': 'frp'}, {'hashtag_description': '', 'hashtag_id': 70136866, 'hashtag_name': 'fremskrittspartiet'}, {'hashtag_id': 229207, 'hashtag_name': 'fyp', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 42164, 'hashtag_name': 'foryou'}, {'hashtag_description': '', 'hashtag_id': 88764338, 'hashtag_name': 'foryoupage'}]"
Kriminalitet i Norge har økt de siste årene og flere unge blir IKKE straffet og gjør som de vil #fyp #foru #media #news #norway #norge #oslo #bergen #trondheim #norwegian #politikk #landet #ungdom ,1736077019,NO,32,"{'warn': False, 'content': '', 'sink': False, 'type': 0, 'vote': False}",False,7343761299699075074,mimeaii,1347,"['news', 'foru', 'norway', 'oslo', 'media', 'fyp', 'bergen', 'norwegian', 'norge', 'trondheim', 'landet', 'ungdom', 'politikk']",7456394001474702614,0,47,[],1,"[{'hashtag_description': '', 'hashtag_id': 188624, 'hashtag_name': 'oslo'}, {'hashtag_id': 229207, 'hashtag_name': 'fyp', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 199825, 'hashtag_name': 'media'}, {'hashtag_id': 135557, 'hashtag_name': 'norway', 'hashtag_description': ''}, {'hashtag_id': 336803, 'hashtag_name': 'bergen', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 5045144, 'hashtag_name': 'trondheim'}, {'hashtag_id': 5462557, 'hashtag_name': 'landet', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 3672944, 'hashtag_name': 'norge'}, {'hashtag_description': '', 'hashtag_id': 76414, 'hashtag_name': 'news'}, {'hashtag_name': 'politikk', 'hashtag_description': '', 'hashtag_id': 40841092}, {'hashtag_id': 108264, 'hashtag_name': 'foru', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 451556, 'hashtag_name': 'norwegian'}, {'hashtag_id': 13208840, 'hashtag_name': 'ungdom', 'hashtag_description': ''}]"
"Når World Economic Forum,miljøforkjemprene  og sosialistene har fått gjennomført prosjektet sitt! #fypシ #viral #fypage #fypシ゚viral #tiktokviral #fyp #foryou #foryoupage #mustsee #norway #trend #politikk ",1736033931,NO,124,"{'type': 0, 'vote': False, 'warn': False, 'content': '', 'sink': False}",False,7456208906589408022,jobs_brain,4972,"['mustsee', 'viral', 'foryou', 'trend', 'norway', 'fyp', 'politikk', 'tiktokviral', 'foryoupage', 'fypage', 'fypシ', 'fypシ゚viral']",7456208933603003670,7,23,[],1,"[{'hashtag_description': '', 'hashtag_id': 135557, 'hashtag_name': 'norway'}, {'hashtag_description': '', 'hashtag_id': 44895, 'hashtag_name': 'trend'}, {'hashtag_description': '', 'hashtag_id': 40841092, 'hashtag_name': 'politikk'}, {'hashtag_description': '', 'hashtag_id': 1637342470396934, 'hashtag_name': 'fypシ'}, {'hashtag_description': '', 'hashtag_id': 88764338, 'hashtag_name': 'foryoupage'}, {'hashtag_description': '', 'hashtag_id': 8848, 'hashtag_name': 'mustsee'}, {'hashtag_description': '¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM', 'hashtag_id': 20884, 'hashtag_name': 'Viral'}, {'hashtag_description': '', 'hashtag_id': 229207, 'hashtag_name': 'fyp'}, {'hashtag_id': 86427221, 'hashtag_name': 'tiktokviral', 'hashtag_description': ''}, {'hashtag_name': 'fypage', 'hashtag_description': '', 'hashtag_id': 1604302285252613}, {'hashtag_description': '', 'hashtag_id': 42164, 'hashtag_name': 'foryou'}, {'hashtag_name': 'fypシ゚viral', 'hashtag_description': '', 'hashtag_id': 1664119477821441}]"
