video_duration,video_mention_list,view_count,hashtag_info_list,music_id,username,video_description,create_time,region_code,hashtag_names,id,is_stem_verified,like_count,share_count,video_label,comment_count
89,[],7205645,"[{'hashtag_description': '', 'hashtag_id': 123942, 'hashtag_name': 'olivegarden'}, {'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀', 'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca'}, {'hashtag_description': ""Whether it's desktop, table top, or old school, what are you playing for #FamilyGameNight?"", 'hashtag_id': 287421, 'hashtag_name': 'FamilyGameNight'}, {'hashtag_description': '', 'hashtag_id': 17481553, 'hashtag_name': 'olivegardenbreadsticks'}, {'hashtag_description': 'Who doesn’t love a good pasta recipe?🍝 Share your all-time favorite pasta recipe with us!', 'hashtag_id': 20431, 'hashtag_name': 'Pasta'}, {'hashtag_description': 'Test your reflexes using #ReflexChallenge', 'hashtag_id': 12731079, 'hashtag_name': 'ReflexChallenge'}, {'hashtag_description': '', 'hashtag_id': 5541287, 'hashtag_name': 'fettuccine'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}]",7465150121504705322,izzyandmarysdad,Grab the Olive Garden #olivegarden #olivegardenbreadsticks #fettuccine #pasta #familygames #familygamenight #reflexchallenge #xyzbca ,1738115731,US,"['pasta', 'olivegarden', 'familygamenight', 'familygames', 'fettuccine', 'reflexchallenge', 'olivegardenbreadsticks', 'xyzbca']",7465150084330638638,False,637910,58031,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",9790
108,[],2030037,"[{'hashtag_description': '', 'hashtag_id': 694209, 'hashtag_name': 'crumble'}, {'hashtag_id': 2556710, 'hashtag_name': 'familygames', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 1653412736454661, 'hashtag_name': 'zxycba'}, {'hashtag_description': '', 'hashtag_id': 1626226436860933, 'hashtag_name': 'crumbl'}, {'hashtag_description': '', 'hashtag_id': 7140422876850552875, 'hashtag_name': 'crumbcookiesoftheweek'}, {'hashtag_description': '', 'hashtag_id': 1615694772357125, 'hashtag_name': 'crumblecookie'}]",7464788876394007338,izzyandmarysdad,Run for the Crumbl Cookie #crumbl #crumbcookiesoftheweek #crumblecookie #crumble #familygames #zxycba,1738031614,US,"['crumble', 'familygames', 'crumblecookie', 'crumbl', 'zxycba', 'crumbcookiesoftheweek']",7464788806470733098,False,92058,9794,"{'content': 'Participating in this activity could result in you or others getting hurt.', 'sink': False, 'type': 1, 'vote': False, 'warn': True}",3206
91,[],2871122,"[{'hashtag_description': '', 'hashtag_id': 29762, 'hashtag_name': 'mcdonalds'}, {'hashtag_description': '', 'hashtag_id': 43454, 'hashtag_name': 'burgerking'}, {'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca', 'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀'}, {'hashtag_name': 'theburgerden', 'hashtag_description': '', 'hashtag_id': 1692823538267142}, {'hashtag_id': 287421, 'hashtag_name': 'FamilyGameNight', 'hashtag_description': ""Whether it's desktop, table top, or old school, what are you playing for #FamilyGameNight?""}, {'hashtag_description': 'What does the perfect burger look like to you?🍔 Share your favorite burger recipes from chicken, beef, shrimp, fish, vegeterian burgers &amp; more!', 'hashtag_id': 21386, 'hashtag_name': 'burger'}, {'hashtag_description': '', 'hashtag_id': 45125, 'hashtag_name': 'burgers'}, {'hashtag_id': 43382, 'hashtag_name': 'wendys', 'hashtag_description': ''}, {'hashtag_description': '', 'hashtag_id': 50697, 'hashtag_name': 'jackinthebox'}, {'hashtag_name': 'mooyah', 'hashtag_description': '', 'hashtag_id': 829467}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}]",7464462126255983406,izzyandmarysdad,Grab the burger #burger #burgers #mcdonalds #burgerking #wendys #jackinthebox #theburgerden #mooyah #familygames #familygamenight #xyzbca ,1737954336,US,"['burger', 'mcdonalds', 'wendys', 'burgerking', 'burgers', 'jackinthebox', 'familygamenight', 'mooyah', 'familygames', 'xyzbca', 'theburgerden']",7464456841091648814,False,120084,13519,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",3194
133,[],2644349,"[{'hashtag_description': '', 'hashtag_id': 86608, 'hashtag_name': 'chickfila'}, {'hashtag_description': '', 'hashtag_id': 1647876121535493, 'hashtag_name': 'chickfilahacks'}, {'hashtag_description': '', 'hashtag_id': 36471018, 'hashtag_name': 'chickfilasauce'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}, {'hashtag_description': ""Whether it's desktop, table top, or old school, what are you playing for #FamilyGameNight?"", 'hashtag_id': 287421, 'hashtag_name': 'FamilyGameNight'}, {'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca', 'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀'}]",7464035002196527918,izzyandmarysdad,Grab the Chick-Fil-A #chickfila #chickfilahacks #chickfilasauce #familygames #familygamenight #xyzbca ,1737856075,US,"['chickfila', 'familygamenight', 'familygames', 'chickfilasauce', 'chickfilahacks', 'xyzbca']",7464034864434662702,False,187264,22683,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",4476
62,[],4371138,"[{'hashtag_name': 'chickenwing', 'hashtag_description': '', 'hashtag_id': 47867}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}, {'hashtag_description': ""Whether it's desktop, table top, or old school, what are you playing for #FamilyGameNight?"", 'hashtag_id': 287421, 'hashtag_name': 'FamilyGameNight'}, {'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀', 'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca'}, {'hashtag_name': 'chickenwings', 'hashtag_description': '', 'hashtag_id': 45455}, {'hashtag_description': '', 'hashtag_id': 3979591, 'hashtag_name': 'firewings'}]",7463699553334823726,izzyandmarysdad,Grab the Fire Wings #chickenwings #firewings #chickenwing #familygames #familygamenight #xyzbca ,1737777985,US,"['chickenwings', 'chickenwing', 'familygamenight', 'familygames', 'firewings', 'xyzbca']",7463699433146961194,False,254502,12169,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",2729
80,[],25107873,"[{'hashtag_id': 6463, 'hashtag_name': 'fries', 'hashtag_description': ''}, {'hashtag_id': 29762, 'hashtag_name': 'mcdonalds', 'hashtag_description': ''}, {'hashtag_description': ""Whether it's desktop, table top, or old school, what are you playing for #FamilyGameNight?"", 'hashtag_id': 287421, 'hashtag_name': 'FamilyGameNight'}, {'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀', 'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}, {'hashtag_description': '', 'hashtag_id': 77031, 'hashtag_name': 'mcnuggets'}, {'hashtag_description': '', 'hashtag_id': 7064396541670195205, 'hashtag_name': 'grimaceshake'}, {'hashtag_id': 88128940, 'hashtag_name': 'macdonaldslover', 'hashtag_description': ''}]",7463324880792996650,izzyandmarysdad,Grab the McDonald’s #mcdonalds #mcnuggets #grimaceshake #macdonaldslover #fries #xyzbca #familygames #familygamenight ,1737690752,US,"['fries', 'mcdonalds', 'mcnuggets', 'familygamenight', 'familygames', 'macdonaldslover', 'xyzbca', 'grimaceshake']",7463324793996086574,False,1638290,280367,"{'sink': False, 'type': 0, 'vote': False, 'warn': False, 'content': ''}",52409
135,[],2678524,"[{'hashtag_id': 72906, 'hashtag_name': 'veggies', 'hashtag_description': ''}, {'hashtag_description': 'You want a pizza this? 🍕', 'hashtag_id': 7090, 'hashtag_name': 'Pizza'}, {'hashtag_description': '', 'hashtag_id': 9189, 'hashtag_name': 'candy'}, {'hashtag_description': 'Test your reflexes using #ReflexChallenge', 'hashtag_id': 12731079, 'hashtag_name': 'ReflexChallenge'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}, {'hashtag_description': ""Whether it's desktop, table top, or old school, what are you playing for #FamilyGameNight?"", 'hashtag_id': 287421, 'hashtag_name': 'FamilyGameNight'}, {'hashtag_description': '', 'hashtag_id': 7869857, 'hashtag_name': 'foodchallege'}, {'hashtag_description': '', 'hashtag_id': 26736, 'hashtag_name': 'dunkindonuts'}, {'hashtag_description': '', 'hashtag_id': 66239, 'hashtag_name': 'dunkin'}, {'hashtag_description': '', 'hashtag_id': 1668672518185990, 'hashtag_name': 'grabthecandy'}]",7462965915873839918,izzyandmarysdad,Grab the Dunkin Donuts #dunkin #dunkindonuts #grabthecandy #familygames #veggies #candy #pizza #familygames #familygamenight #reflexchallenge #foodchallege,1737607188,US,"['pizza', 'candy', 'dunkindonuts', 'dunkin', 'veggies', 'familygamenight', 'familygames', 'foodchallege', 'reflexchallenge', 'grabthecandy']",7462965804225678634,False,218973,28951,"{'sink': False, 'type': 1, 'vote': False, 'warn': True, 'content': 'Participating in this activity could result in you or others getting hurt.'}",4244
83,[],1566630,"[{'hashtag_description': '', 'hashtag_id': 9189, 'hashtag_name': 'candy'}, {'hashtag_description': '', 'hashtag_id': 5927789, 'hashtag_name': 'valentinesdaygift'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}, {'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀', 'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca'}, {'hashtag_name': 'ValentinesDay', 'hashtag_description': 'Post E-commerce Short Videos with #valentinesday during the Campaign Period and top ranked creators by total accumulated Short Video GMV will be eligible to receive up to $100 voucher rewards issued by TikTok Platform between 10th-14th February 2025.', 'hashtag_id': 10313}, {'hashtag_name': 'valentinesdaycandy', 'hashtag_description': '', 'hashtag_id': 6483854}]",7462556223054629678,izzyandmarysdad,Grab the Valentine's Day Candy 2 #ValentinesDay  #valentinesdaycandy #candy #valentinesdaygift #familygames #xyzbca,1737511785,US,"['candy', 'valentinesday', 'familygames', 'valentinesdaygift', 'valentinesdaycandy', 'xyzbca']",7462556170507636011,False,74970,4619,"{'sink': False, 'type': 0, 'vote': False, 'warn': False, 'content': ''}",1564
80,[],5926118,"[{'hashtag_description': '', 'hashtag_id': 1626226436860933, 'hashtag_name': 'crumbl'}, {'hashtag_description': '', 'hashtag_id': 7140422876850552875, 'hashtag_name': 'crumbcookiesoftheweek'}, {'hashtag_description': '', 'hashtag_id': 1615694772357125, 'hashtag_name': 'crumblecookie'}, {'hashtag_description': '', 'hashtag_id': 694209, 'hashtag_name': 'crumble'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}, {'hashtag_name': 'zxycba', 'hashtag_description': '', 'hashtag_id': 1653412736454661}]",7462190023857703723,izzyandmarysdad,Grab the Crumbl Cookie #crumbl #crumbcookiesoftheweek #crumblecookie #crumble #familygames #zxycba,1737426518,US,"['crumble', 'familygames', 'crumblecookie', 'crumbl', 'zxycba', 'crumbcookiesoftheweek']",7462189938172349739,False,422921,37229,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",6949
117,[],3760256,"[{'hashtag_description': 'Asla bir sonraki hamleni bilmelerine izin verme! 👀', 'hashtag_id': 1652484531221509, 'hashtag_name': 'xyzbca'}, {'hashtag_description': 'Post E-commerce Short Videos with #valentinesday during the Campaign Period and top ranked creators by total accumulated Short Video GMV will be eligible to receive up to $100 voucher rewards issued by TikTok Platform between 10th-14th February 2025.', 'hashtag_id': 10313, 'hashtag_name': 'ValentinesDay'}, {'hashtag_description': '', 'hashtag_id': 6483854, 'hashtag_name': 'valentinesdaycandy'}, {'hashtag_description': '', 'hashtag_id': 9189, 'hashtag_name': 'candy'}, {'hashtag_description': '', 'hashtag_id': 5927789, 'hashtag_name': 'valentinesdaygift'}, {'hashtag_description': '', 'hashtag_id': 2556710, 'hashtag_name': 'familygames'}]",7461839008730237742,izzyandmarysdad,Grab the Valentine’s Day Candy #valentinesday #valentinesdaycandy #candy #valentinesdaygift #familygames #xyzbca ,1737344797,US,"['candy', 'valentinesday', 'familygames', 'valentinesdaygift', 'valentinesdaycandy', 'xyzbca']",7461839026530782510,False,218292,19509,"{'content': '', 'sink': False, 'type': 0, 'vote': False, 'warn': False}",6433
